mes;dia;hora;perfil_usuari;pf
1;12;10;a;0.000148582899356542
1;12;11;a;0.00016441105835967
1;12;12;a;0.000168275869263212
1;12;13;a;0.000169582881351261
1;12;14;a;0.0001711883644176
1;12;15;a;0.000160893505340748
1;12;16;a;0.000150213094021806
1;12;17;a;0.000150907200763774
1;12;18;a;0.000161217286633361
1;12;19;a;0.000180683848649752
1;12;20;a;0.000194217027500641
1;12;21;a;0.000196385097622393
1;12;22;a;0.000190598915330308
1;12;23;a;0.000165336947004574
1;12;24;a;0.000132950079455842
1;28;1;a;0.000104594998769023
1;28;2;a;8.45489573670552e-05
1;28;3;a;7.54523078482362e-05
1;28;4;a;7.07749041686326e-05
1;28;5;a;6.9189612307763e-05
1;28;6;a;7.08585061951674e-05
1;28;7;a;8.2838172691868e-05
1;28;8;a;0.000113885984328171
1;28;9;a;0.000138714908966494
1;28;10;a;0.000155491240646061
1;28;11;a;0.000169503602765192
1;28;12;a;0.000171027118937859
1;28;13;a;0.000172428045980517
1;28;14;a;0.000174277056395134
1;28;15;a;0.000163571088304308
1;28;16;a;0.000154255574632461
1;28;17;a;0.000155921177316817
1;28;18;a;0.000167893548730739
1;28;19;a;0.000186158096795313
1;28;20;a;0.000198226701424307
1;28;21;a;0.00019945957821535
1;28;22;a;0.000191401707178436
1;28;23;a;0.000167384712590176
1;28;24;a;0.000134913513914386
1;25;1;b;0.000250447966812796
1;25;2;b;0.000232638807496686
1;25;3;b;0.000215184676599514
1;25;4;b;0.000203254963131162
1;25;5;b;0.000200115119454267
1;25;6;b;0.000209627512639564
1;25;7;b;0.000212857791578923
1;25;8;b;0.0002079940359756
1;25;9;b;0.000151034795718761
1;25;10;b;0.00012792372364572
1;25;11;b;0.000134444719987551
1;25;12;b;0.000122787545735521
1;25;13;b;9.04893036127492e-05
1;25;14;b;9.0834539028695e-05
1;25;15;b;8.97380427054199e-05
1;25;16;b;7.99078486692715e-05
1;25;17;b;7.64564962656692e-05
1;25;18;b;8.00103867858845e-05
1;25;19;b;0.000146095739842628
1;25;20;b;0.000190924056383751
1;25;21;b;0.000195693887222829
1;25;22;b;0.000200732331236567
1;25;23;b;0.000245506161407355
1;25;24;b;0.000255707784550568
1;22;1;b;0.000242790411551712
1;22;2;b;0.000224786248779055
1;22;3;b;0.000207531343586103
1;22;4;b;0.000197308823160463
1;22;5;b;0.000195732795662499
1;22;6;b;0.000205092002302204
1;22;7;b;0.000212894688118
1;22;8;b;0.000219341674804714
1;22;9;b;0.000167101005673642
1;22;10;b;0.000134189548045522
1;22;11;b;0.000126116313885526
1;22;12;b;0.000109125878897371
1;22;13;b;8.32918067042203e-05
1;22;14;b;8.39148453416901e-05
1;22;15;b;8.23897609893222e-05
1;22;16;b;7.80100412119337e-05
1;22;17;b;7.6296915646897e-05
1;22;18;b;8.1011957712026e-05
1;22;19;b;0.000144611135941819
1;22;20;b;0.000190513599504557
1;22;21;b;0.000198952040666856
1;22;22;b;0.000202724809579439
1;22;23;b;0.000246445770029594
1;22;24;b;0.000253334543623244
1;19;1;b;0.000242318047690457
